,Unnamed: 0,debias_point,debias_var,dim,dim_var,undebias_point,undebias_var,J,Q,K,M,epochs,n_folds,uplift_factor,truth,truth_stderr
0,0,-0.014272259734995,0.2314309426842316,-0.0790630247553286,1.5082957802998416,-0.015267749,0.0018721834,500,1000,3,500,500,3,-1.0,-0.0162688377053209,0.0121623744114722
0,0,0.0143979396685629,0.2454196720360575,-0.1001540718876121,1.5566438810111307,0.0018477611,0.0032116335,500,1000,3,500,500,3,-1.0,-0.0164059892094871,0.0120673181130577
0,0,0.0050216919202185,0.2215537211904761,-0.1295062203814834,1.4089507249180793,0.0017803488,0.002070381,500,1000,3,500,500,3,-1.0,-0.0157623375262018,0.0119028992442579
0,0,-0.0029548981455364,0.211680497992053,-0.1317214079436381,1.4489287759444036,-0.020160703,0.0016273353,500,1000,3,500,500,3,-1.0,-0.0200370679591961,0.0113542567567269
0,0,-0.0457059728324403,0.2227067994228729,-0.075551744356856,1.4949428289488669,-0.029922282,0.0038688288,500,1000,3,500,500,3,-1.0,-0.0148166378804153,0.0118657359321521
0,0,-0.0080642852922865,0.2315230183247794,-0.0089700207688511,1.5153990328805471,-0.0063263047,0.0017747395,500,1000,3,500,500,3,-1.0,-0.0193986566253543,0.0117917103657027
0,0,0.0001632337088,0.2171793550887244,-0.086323383811995,1.5630477052654417,0.010587937,0.001635509,500,1000,3,500,500,3,-1.0,-0.0184656506862517,0.0121531518420893
0,0,-0.0217591434385791,0.2199574524545075,-0.0902069466143976,1.4659257108212236,-0.02239461,0.0025380135,500,1000,3,500,500,3,-1.0,-0.0181551630603724,0.0119708438554894
0,0,-0.0096486670966245,0.2291361443249724,-0.139362240074096,1.6523247704554251,-0.007963183,0.0031496768,500,1000,3,500,500,3,-1.0,-0.0181763547783705,0.0119626677380725
0,0,0.0031862031866542,0.2192110675681269,-0.0143093029169925,1.5394111490868962,-0.0019659428,0.002063331,500,1000,3,500,500,3,-1.0,-0.0188342556578773,0.0117622892840461
0,0,-0.0174511695749983,0.2098339002346515,-0.0681167862364816,1.5046161763481354,-0.013880961,0.0018287556,500,1000,3,500,500,3,-1.0,-0.0209323685793386,0.0115523109146574
0,0,-0.0124588118247204,0.2159717687859804,-0.1071151852228636,1.4613502488956105,-0.020604417,0.0022116255,500,1000,3,500,500,3,-1.0,-0.0190586280530278,0.0118853140110258
0,0,0.0220924890337282,0.2297647988966783,-0.1097650134496435,1.4999825438811634,0.021594414,0.002739882,500,1000,3,500,500,3,-1.0,-0.0167109926611398,0.011329273753288
0,0,-0.0026718000834573,0.2383550709102004,-0.1909792311818264,1.4886087925141973,-0.019163987,0.0021159195,500,1000,3,500,500,3,-1.0,-0.0180025209468037,0.0113167634916742
0,0,-0.0037034361464135,0.2495207038133565,-0.0675621111571188,1.5371364075454483,-0.015358265,0.0025661062,500,1000,3,500,500,3,-1.0,-0.0170430950918406,0.0121347740643904
0,0,-0.0135715836006348,0.2491635347635855,0.0574734480961113,1.483571778747495,-0.01679143,0.0047968742,500,1000,3,500,500,3,-1.0,-0.019065840985894,0.0119117787268544
0,0,-0.0231585914809716,0.1985938278851439,-0.0344681995435507,1.5087823567227834,-0.008228184,0.0024453348,500,1000,3,500,500,3,-1.0,-0.0175622150686268,0.0119294600826193
0,0,-0.0399058647084179,0.2275441423963563,-0.2154300552647026,1.6217539435473771,-0.03161156,0.0035162314,500,1000,3,500,500,3,-1.0,-0.019064799648215,0.0119491780843769
0,0,-0.0267552181519308,0.2084171896166413,-0.1440283958427148,1.534361541851434,-0.012373275,0.002532865,500,1000,3,500,500,3,-1.0,-0.016895027435725,0.0121556380772553
