,Unnamed: 0,debias_point,debias_var,dim,dim_var,undebias_point,undebias_var,J,Q,K,M,epochs,n_folds,uplift_factor,truth,truth_stderr
0,0,-0.0022581742450627,0.2400897273356339,0.0658175800793398,1.5731344331158013,-0.008474323,0.0010320124,500,1000,3,500,500,3,-0.5,-0.0087270169304306,0.0114971021240202
0,0,-0.0058108399376957,0.249622921250312,-0.0495990696238511,1.5607169797642342,-0.0048649814,0.0011832337,500,1000,3,500,500,3,-0.5,-0.0089327813428127,0.0116742404046439
0,0,0.007478713469955,0.2176306682430271,-0.1381843123298234,1.5908230728673003,-0.014086732,0.0012409998,500,1000,3,500,500,3,-0.5,-0.0100393165983553,0.0118081764427335
0,0,0.0030666775501116,0.2328597891200795,-0.0551355951887804,1.6989980906849314,0.0016654218,0.0017717326,500,1000,3,500,500,3,-0.5,-0.0088188805316649,0.0121222760016293
0,0,0.0030666775501116,0.2328597891200795,-0.0551355951887804,1.6989980906849314,0.0016654218,0.0017717326,500,1000,3,500,500,3,-0.5,-0.0088188805316649,0.0121222760016293
0,0,-0.0058442312209616,0.2557430695953159,0.0886721894541504,1.5830548840053589,-0.00788911,0.0012815759,500,1000,3,500,500,3,-0.5,-0.0105253891818438,0.0112862502043509
0,0,0.000516020571211,0.2141551891844635,-0.0525017064546621,1.7500197243969309,0.00036281193,0.0011796159,500,1000,3,500,500,3,-0.5,-0.0088388184851145,0.0118818869674773
0,0,-0.0263704416319891,0.2108483514838598,-0.0401793910223163,1.5781654145283843,-0.010355041,0.0012874267,500,1000,3,500,500,3,-0.5,-0.009033381051387,0.0119268245595674
0,0,0.0099984967677363,0.2269816271106872,0.0274691558602729,1.6067265424169572,-0.006463612,0.00085519924,500,1000,3,500,500,3,-0.5,-0.0105783736155605,0.0116959754930339
0,0,-0.021001650531717,0.2583665635313371,-0.1122402753357525,1.5705580463068365,-0.0078047332,0.0025014796,500,1000,3,500,500,3,-0.5,-0.0101851625371344,0.0118598680094701
0,0,-0.0234407812363896,0.2208877497407807,-0.082049010398556,1.4951488988877095,-0.002106161,0.0013627341,500,1000,3,500,500,3,-0.5,-0.0079138603628876,0.0115086273403479
0,0,-0.0048765419658394,0.2344840205723984,0.0501872422864083,1.6441740770346651,-0.0050878595,0.0010090381,500,1000,3,500,500,3,-0.5,-0.0093556563950069,0.0118375955827792
0,0,-0.0261613217633039,0.2350625742542785,0.0060194021327648,1.5970984520861211,-0.014571578,0.0017475995,500,1000,3,500,500,3,-0.5,-0.0096072488841135,0.0118060051474258
0,0,0.0003179461612573,0.2194935948622695,-0.0391472889561862,1.561335152514335,-0.0047012623,0.0016618734,500,1000,3,500,500,3,-0.5,-0.0100597617386876,0.0118177167383587
0,0,-0.0039231159132524,0.2477041493409162,-0.0475182540521449,1.651786498217871,-0.010550961,0.0011116711,500,1000,3,500,500,3,-0.5,-0.0082231906793908,0.0119477399995738
0,0,-0.0265711958477116,0.2258990316915739,-0.0894031697927026,1.6333039367144948,-0.01073807,0.0018183951,500,1000,3,500,500,3,-0.5,-0.0098378098040798,0.0117358370003873
0,0,-0.015306357636782,0.2096235876100539,0.0010535728178252,1.5223761515971073,-0.005175188,0.0012765488,500,1000,3,500,500,3,-0.5,-0.0093685919832469,0.0111695391076019
0,0,-0.0233586775374452,0.2143557780763116,-0.0597131675659107,1.560186253757443,-0.021239236,0.0021305347,500,1000,3,500,500,3,-0.5,-0.0083325630721428,0.0118623020398696
0,0,-0.0280741577695135,0.2161933680242671,-0.1097297473968984,1.5552403542372275,-0.003567842,0.0029398084,500,1000,3,500,500,3,-0.5,-0.009454164575217,0.0118865581000766
0,0,-0.0145881509691974,0.2569779605795748,-0.0933991051999646,1.5434193307679172,0.0016836463,0.0010772342,500,1000,3,500,500,3,-0.5,-0.0091141849702878,0.0115846670471635
0,0,0.0429939696224712,0.2206109973092554,-0.0303059260304198,1.5198237503381444,0.027349176,0.0021936593,500,1000,3,500,500,3,-0.5,-0.0099342608378907,0.0118796248867684
0,0,0.0007175222026112,0.1993397586803168,0.0235277773339476,1.54124279367588,0.00493376,0.001394875,500,1000,3,500,500,3,-0.5,-0.0084674651040319,0.0116893818214136
0,0,0.0014803668134376,0.2396659247390438,-0.0177321366329213,1.561599451927689,0.003937113,0.001368266,500,1000,3,500,500,3,-0.5,-0.0086036597483384,0.0118797159253186
0,0,0.020610979582771,0.2209337918726831,0.0015057741947532,1.5259198128831413,0.0041735563,0.0016067986,500,1000,3,500,500,3,-0.5,-0.0077341172548693,0.0117817132367332
0,0,-0.0055413580347919,0.2383199989196365,-0.2316239579916815,1.5674864400044828,-0.013408358,0.0017616012,500,1000,3,500,500,3,-0.5,-0.0090783728315168,0.0120419839037739
0,0,-0.0143346615234968,0.2148862177730774,-0.1534471414241337,1.5844539261246464,-0.016018314,0.0021464557,500,1000,3,500,500,3,-0.5,-0.0095890112527267,0.0116592158201048
0,0,-0.0044583756380939,0.2154051695769245,-0.095897165530618,1.4893834060894835,-0.0010062964,0.001727895,500,1000,3,500,500,3,-0.5,-0.0091870489320652,0.01168445361808
0,0,-0.0114538313766287,0.2518195913378038,-0.0163700576010978,1.5517279275497613,0.0052221064,0.001008913,500,1000,3,500,500,3,-0.5,-0.0088322316111045,0.011577692328198
0,0,-0.0056451684595196,0.2538320345551408,-0.0671143677840601,1.6392842649527986,-0.008042141,0.0012487,500,1000,3,500,500,3,-0.5,-0.0093445733854422,0.0120787191893041
0,0,-0.0002139615792061,0.2148471939180473,-0.1099193198029138,1.6175286947039422,0.004612584,0.0012123147,500,1000,3,500,500,3,-0.5,-0.0089479389695238,0.0119943253687766
0,0,-0.0060719749040025,0.2495067013706478,-0.081772754442696,1.5399881906551078,-0.0053074434,0.0013083854,500,1000,3,500,500,3,-0.5,-0.0089325954581231,0.0117865218797722
0,0,-0.0154758331191605,0.2296147324886399,0.0498891030778538,1.5454769425609247,-0.02161931,0.0017457637,500,1000,3,500,500,3,-0.5,-0.0083506260371749,0.0118113427685909
0,0,-0.0067926471776802,0.2208688265361009,-0.1484820980250232,1.5916898489476905,0.0022782406,0.0015694645,500,1000,3,500,500,3,-0.5,-0.0093819116162148,0.0121145326724925
0,0,-0.03078514680168,0.2152935236718419,0.0145189936542335,1.4970717314235376,-0.013806514,0.0014117183,500,1000,3,500,500,3,-0.5,-0.0094139109528152,0.0120146735357818
0,0,-0.0247526754463067,0.2090466611089017,-0.0658953455248614,1.6560892890965604,-0.024062863,0.002266073,500,1000,3,500,500,3,-0.5,-0.0087138202709632,0.0121327966051824
0,0,0.0027444631867801,0.2501302578284976,-0.1129533175551861,1.589486990205376,-0.0061760577,0.0012047803,500,1000,3,500,500,3,-0.5,-0.0098863820618837,0.0118688996979154
0,0,-0.0102580221798935,0.2383737491649976,-0.0249511112277273,1.6228379022972592,-0.012703334,0.0018545453,500,1000,3,500,500,3,-0.5,-0.0091107405476338,0.0118571180109363
