,Unnamed: 0,debias_point,debias_var,dim,dim_var,undebias_point,undebias_var,J,Q,K,M,epochs,n_folds,uplift_factor,truth,truth_stderr
0,0,0.0294378641636943,0.2481714144837019,0.0479946499736363,1.5303171114585388,0.027529696,0.0028807984,500,1000,3,500,500,3,0.5,0.0085400298522998,0.011704892448726
0,0,0.0141437177444438,0.1979890716714416,-0.0022281334012991,1.5910898482577869,-0.0071053547,0.001288635,500,1000,3,500,500,3,0.5,0.0078846917434076,0.0115813803154294
0,0,0.0172428966670323,0.2458669297017983,0.1332549106804785,1.6089249696781958,-0.0029518083,0.0023899295,500,1000,3,500,500,3,0.5,0.009144590267942,0.0122567297535776
0,0,-0.0145660508181548,0.2317905399322734,-0.02906051588111,1.6215323055300492,-0.008430257,0.002203565,500,1000,3,500,500,3,0.5,0.0091822850384393,0.0122290925344003
0,0,0.0320910769608693,0.2338902844256766,0.0198437498849002,1.5873215055758907,0.024538806,0.0012302162,500,1000,3,500,500,3,0.5,0.008712992797874,0.0114590630518735
0,0,0.0421016925229034,0.2185146876642061,0.1028760629781526,1.6413729470145526,0.03948313,0.0029785156,500,1000,3,500,500,3,0.5,0.0101596061724757,0.0121247864072159
0,0,0.0095200366837382,0.2308043899030356,0.0149281548847032,1.663462213968928,0.005881945,0.0012619233,500,1000,3,500,500,3,0.5,0.0102876477539364,0.0119888874816182
0,0,0.0130461483720162,0.238256438982077,0.1000514370910474,1.746753013524215,0.015223705,0.0016263084,500,1000,3,500,500,3,0.5,0.0095318379411225,0.0119110362430991
0,0,0.0073916775858323,0.2064097699679271,0.1820091938362735,1.5545828562766186,0.01448001,0.001518366,500,1000,3,500,500,3,0.5,0.0076521047171507,0.0121516116897145
0,0,-0.034335158928495,0.2390341131614813,0.0022845513713934,1.7759083769316906,-0.01829423,0.0011401832,500,1000,3,500,500,3,0.5,0.0097643373011799,0.0123645610182881
0,0,0.0350766634552553,0.244102489157742,-0.0014099051832688,1.5723091304080572,0.020394927,0.002414933,500,1000,3,500,500,3,0.5,0.0093465626599438,0.0118467400896646
0,0,0.0275157267624039,0.2028753845983392,0.1232607412306359,1.662710477531416,0.021270776,0.002488136,500,1000,3,500,500,3,0.5,0.0102494585086972,0.0121304499009889
0,0,-0.00718321514956,0.2137153691183679,0.1033567607710126,1.5974063264887357,-0.00032106848,0.0025159542,500,1000,3,500,500,3,0.5,0.0091686959348132,0.0119219024303155
0,0,0.0058932687815612,0.2216647982149772,0.0672040074188563,1.6451473488386923,0.0018285876,0.0024346274,500,1000,3,500,500,3,0.5,0.0092783149727947,0.0122056194784173
0,0,-0.0239508858148587,0.2738758722875323,0.1140343627901486,1.667004968246986,-0.0071493075,0.0022542493,500,1000,3,500,500,3,0.5,0.008936341778913,0.0125052955576184
