,Unnamed: 0,debias_point,debias_var,dim,dim_var,undebias_point,undebias_var,J,Q,K,truth,truth_stderr
0,0,-0.0848035465937785,4.269230019906169,-0.8638523228488775,136.5075299655277,-0.104714595,0.031271875,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1231180473042707,3.712092645166134,-0.63527576137212,121.44798111899796,-0.10163734,0.033665296,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1515036701023581,4.7472117233737805,-0.7816794123119672,133.5841426140757,-0.10219976,0.030456379,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0910308298130108,4.729730112208941,-1.0899716280523255,128.18908456535016,-0.067751214,0.025878742,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0671350151509754,3.902923112392435,-0.6942197552434037,120.70545612778312,-0.082119845,0.019583236,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0140317881573141,3.802314156174021,-0.6191487673935323,127.20155977957988,-0.048870374,0.027061483,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0673427960348998,4.411044394938106,-0.3594387544467494,126.7566771729029,-0.103114486,0.031265836,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1226596356973683,4.26324573656824,-0.467950816891725,118.6536788017499,-0.081879884,0.020932496,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0733201753402417,4.138951006868751,-0.4915679221234317,120.74205558699106,-0.041992396,0.028746167,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1498908523908362,4.66432351885505,-0.8265698943112807,108.59363024273694,-0.08966595,0.035622213,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0503686878188889,4.006645604941599,-0.4022668567855207,130.5106050451122,-0.08608828,0.027694894,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1094532473769264,4.08418489196692,-0.2734398670797811,131.536891574357,-0.08219499,0.02391942,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0844879621213051,4.093088025299426,-1.0546595396933056,133.75726766687316,-0.08205242,0.03321174,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1479402071783621,4.072948476659787,-0.939196723850221,118.40287408042214,-0.11517077,0.022755248,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0829023839943131,4.16497844566374,-0.8804007746384417,127.05245469940084,-0.064574264,0.024386229,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1020060849437278,4.644856945716168,-1.110141818856134,127.16799751415046,-0.115764804,0.03924597,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0583373843452745,4.359064130400667,-1.146520430843418,117.0462869139302,-0.072128244,0.026370073,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0356595694698624,3.8834143983723073,-1.0330247612274364,123.20812549000776,-0.06087934,0.033011425,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0982933516065169,3.544787674167104,-0.1981287517431544,122.33251195105544,-0.08619994,0.023654208,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1104811991670076,4.081868221319834,-0.9849080869562544,119.0859578442461,-0.121639304,0.027651763,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1589007834616412,4.156726678604063,-0.182359063044359,119.48972111343302,-0.084264755,0.029488316,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1678728549813113,4.244730636047845,-1.0917324674460531,120.71514405743392,-0.12213125,0.02604001,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0910191514443964,4.141673250875139,-0.5175867211433913,123.65889684711664,-0.12416467,0.042189788,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0704958175547762,3.7090031139337047,-0.8283021503180912,131.88751025502353,-0.10544205,0.021487102,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0380334517040186,4.447502071582822,-0.8461913393552423,126.58649898243804,-0.093062095,0.02591738,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0227823959097192,4.798845388072922,-0.5923748904027075,125.77699969500436,-0.057419915,0.031226307,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.041477475367135,3.677480215927627,-0.3599385400427577,119.93728471294274,-0.058163032,0.014475845,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0853155825589371,4.420734591480731,-0.873183197760226,117.28859471488016,-0.071646,0.019599237,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0723517341397764,3.811419981948884,-1.2177052299168132,121.00779394497847,-0.097005546,0.026470177,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0923869474453987,4.685628733840463,-0.2083681461064932,125.29905319830505,-0.11746935,0.023268804,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0967710681581448,3.5243692654960106,-1.3905029583288735,104.69992473570504,-0.08153529,0.027434947,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0586736105079733,4.410711571914074,-0.6334018102354642,119.11644083484674,-0.06794646,0.024950095,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.040215658337071,4.138398969851783,-0.3387450222382044,130.39823771439097,-0.05955355,0.020830719,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1032293013606253,3.7998058242318815,-0.4685211625019647,136.01117315965098,-0.08956104,0.034444068,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.078453543570177,4.335009635451594,-0.9899997173989884,111.74666543326684,-0.056127045,0.03651931,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1014977297439986,4.874956511236721,-0.7009317225881602,120.93465994151808,-0.09589363,0.02018205,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1014977297439986,4.874956511236721,-0.7009317225881602,120.93465994151808,-0.09589363,0.02018205,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1014977297439986,4.874956511236721,-0.7009317225881602,120.93465994151808,-0.09589363,0.02018205,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0676462313211512,3.904039469412444,-0.5099264877567471,131.46738177338108,-0.07610545,0.037648186,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1111576701137612,4.034411874288406,-0.2881895339523108,139.84547130975275,-0.08525703,0.03187195,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1578533379484226,4.247495356613957,-1.2975554965305935,129.60857236895373,-0.120043635,0.02957973,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0420167756765513,4.45134191157317,-0.9045973949357404,118.4731483703321,-0.039686363,0.024485288,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0956258041781048,4.081993422519033,-0.6015429592977082,113.04412006267052,-0.075174846,0.020969009,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0995935059388371,4.627081021989298,-0.5841092673534303,114.19093166848808,-0.08274568,0.024971828,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1192983245240629,3.886012211421536,-0.9737938227065608,128.4461528491007,-0.104410686,0.02768659,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,0.0053956432579645,4.058295384973739,-0.8004642990003723,127.5967497502923,-0.060355887,0.02027172,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.091032924335557,3.903042803542596,-1.3906204719830133,119.6012298134655,-0.1180085,0.041552898,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.112215395208981,4.072693235169806,-0.824181994181171,126.67327074446467,-0.12338227,0.031336553,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0269358586191911,4.1655069713521,-0.7328238145038446,126.7689932853504,-0.0824113,0.022256881,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0693187444209422,4.1193534045638245,-0.4469319337222583,116.55319204993717,-0.07456514,0.024985375,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1231170378363531,4.4557179803755,-0.6330423119875488,123.13857338032604,-0.09294521,0.03774664,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.1231170378363531,4.4557179803755,-0.6330423119875488,123.13857338032604,-0.09294521,0.03774664,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0668178748240763,4.071189849048952,-0.3092162845957529,112.24604704284428,-0.060181737,0.020256246,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0668178748240763,4.071189849048952,-0.3092162845957529,112.24604704284428,-0.060181737,0.020256246,1000,3000,5,-0.0855146069941722,0.000287770598463
0,0,-0.0668178748240763,4.071189849048952,-0.3092162845957529,112.24604704284428,-0.060181737,0.020256246,1000,3000,5,-0.0855146069941722,0.000287770598463
