,Unnamed: 0,debias_point,debias_var,dim,dim_var,undebias_point,undebias_var,J,Q,K,M,epochs,n_folds,uplift_factor,truth,truth_stderr
0,0,0.0269870600948722,0.2529744457185724,0.1030549537495325,1.5435473598239724,0.024855958,0.0025177337,500,1000,3,500,500,3,1.0,0.0173106417594792,0.0128601408200945
0,0,0.0229560168446796,0.1981052893567663,0.0853354721492511,1.660426192240184,0.014241103,0.0029922815,500,1000,3,500,500,3,1.0,0.0168121315792628,0.0123810089520889
0,0,0.0097063795140354,0.208201282468964,0.1250948195639556,1.6842444528251233,-3.0439813e-05,0.001583178,500,1000,3,500,500,3,1.0,0.0178074847962993,0.0120388234909991
0,0,0.0046966999760283,0.2120503701144524,0.1413799272382265,1.659712961961114,-0.0032488967,0.0019389378,500,1000,3,500,500,3,1.0,0.0150995864269625,0.0124526534335508
0,0,0.0229603930895267,0.2207767181119704,0.1341123061460377,1.60287615079501,0.021725899,0.0024827,500,1000,3,500,500,3,1.0,0.015374795401769,0.0121742792560116
0,0,0.001062071517994,0.2436201003956878,0.0181944938793311,1.598244111087878,0.008032496,0.002950073,500,1000,3,500,500,3,1.0,0.0143319030338047,0.012406371397428
0,0,0.0004181938728092,0.2395284122408529,0.1170787019303426,1.5531175351700537,0.008555944,0.002847189,500,1000,3,500,500,3,1.0,0.0133994177525368,0.0120508718875734
0,0,0.0170897321103303,0.218907714506414,0.1888952138597143,1.5824264637228678,0.007783497,0.0022824241,500,1000,3,500,500,3,1.0,0.0178889343945135,0.0121504742658427
0,0,0.0358073246770025,0.1913943367979742,0.2613040644549568,1.5642441592176193,0.014767659,0.002200759,500,1000,3,500,500,3,1.0,0.0193640145548368,0.0119789739851662
0,0,0.0091805364855191,0.2099618501219155,0.2184707797997445,1.5409518084362586,0.015225344,0.004068101,500,1000,3,500,500,3,1.0,0.0170304663227389,0.0124157667667889
0,0,0.0262501342383303,0.2294988876481683,0.101136801688174,1.571099808203004,0.01845398,0.0020647824,500,1000,3,500,500,3,1.0,0.0181063889400107,0.0129331449088843
0,0,0.0157523907454575,0.2591454199677326,0.2103134274746941,1.529945956541338,0.01225631,0.0014950233,500,1000,3,500,500,3,1.0,0.0172036409110558,0.0120565183982753
0,0,0.0133663886578405,0.22469303064526,0.1254656649526118,1.6493547177184495,0.030003496,0.002894721,500,1000,3,500,500,3,1.0,0.0176611040440277,0.012137235422342
0,0,0.0318784941037266,0.2215830595902049,0.1116126636875006,1.578137671099927,0.018433817,0.0022320095,500,1000,3,500,500,3,1.0,0.0153461948352479,0.0122785031728201
0,0,0.009184472235207,0.2308676828046597,0.0135707142647378,1.5544189316124302,0.0061802207,0.0018315017,500,1000,3,500,500,3,1.0,0.0162414789848331,0.0119744706863288
0,0,-8.929123554239522e-05,0.1928181388399457,0.1360144847712257,1.60693644311438,0.005544763,0.0017807485,500,1000,3,500,500,3,1.0,0.0142733421564131,0.0119086079831959
