,Unnamed: 0,debias_point,debias_var,dim,dim_var,undebias_point,undebias_var,J,Q,K,truth,truth_stderr
0,0,-0.0945640405254812,5.650690492074713,-1.097317271917337,111.91265765122397,-0.115835704,0.03719299,500,1000,5,-0.0851251592096021,0.0004581514017514
0,0,-0.0021287187274712,4.157589871987284,-0.6463045410442194,123.8436144636113,-0.026278943,0.025417099,500,1000,5,-0.0859975535487166,0.000488521301419
0,0,0.019226539479043,3.247426931443242,-0.4903794112259612,106.20500964709083,0.006041471,0.022446984,500,1000,5,-0.0858301549243957,0.0004525311481456
0,0,-0.0544981121994292,3.5312371349813887,-1.3316224712878268,135.19990410298888,-0.064863585,0.015521905,500,1000,5,-0.0853282448865327,0.0005407359349417
0,0,-0.0965090752266381,3.239036804348648,-0.4269009866597608,142.92549721451385,-0.05291775,0.03302871,500,1000,5,-0.0859986214645876,0.0005623927870429
0,0,-0.1064055667385319,4.422459820358127,-1.1346697836667117,124.14558368897886,-0.10221183,0.021467745,500,1000,5,-0.0851251592096021,0.0004581514017514
0,0,-0.0730764613423852,3.688325517087184,-1.6156499648503595,142.1096390387115,-0.058259487,0.03540433,500,1000,5,-0.0859975535487166,0.000488521301419
0,0,-0.1380929473441063,4.490677341664945,-0.0415056526445365,140.92544096604843,-0.10234579,0.037186515,500,1000,5,-0.0858301549243957,0.0004525311481456
0,0,-0.0636482552682226,3.29598852517424,-0.3156113405269005,123.51968976208326,-0.038808305,0.02298458,500,1000,5,-0.0853282448865327,0.0005407359349417
0,0,-0.0995657684191585,4.00815799589268,0.290380313233352,142.6957211626863,-0.07696496,0.033084154,500,1000,5,-0.0859986214645876,0.0005623927870429
0,0,-0.0302431179713273,4.22676458088459,-0.7959220800435198,115.3668948110312,-0.05186582,0.037014294,500,1000,5,-0.0851251592096021,0.0004581514017514
0,0,-0.0689178615780169,2.8535481971201357,-0.5826222249756303,124.675415037827,-0.028289722,0.018033111,500,1000,5,-0.0859975535487166,0.000488521301419
0,0,-0.087282568570804,3.303416190255218,-1.5283409919272315,132.47779449763817,-0.06729181,0.029034501,500,1000,5,-0.0858301549243957,0.0004525311481456
0,0,-0.0700422305078476,4.087585784349955,-1.1447754709304632,118.11148625336097,-0.03861906,0.014055959,500,1000,5,-0.0853282448865327,0.0005407359349417
0,0,0.0487214108281426,3.502943244161018,-0.2836801376692133,113.94027412070994,-0.008853798,0.039610323,500,1000,5,-0.0859986214645876,0.0005623927870429
0,0,-0.0856184687547193,3.969610924859027,-1.8536869286951911,140.81420092582422,-0.088533066,0.035210397,500,1000,5,-0.0851251592096021,0.0004581514017514
0,0,-0.1132909137110008,4.544792392652175,-1.4577693752344087,119.32751730430174,-0.068982475,0.028185556,500,1000,5,-0.0859975535487166,0.000488521301419
0,0,-0.1639566445815271,4.047684871063773,-0.4066378969075575,110.92313326405336,-0.11482749,0.025321117,500,1000,5,-0.0858301549243957,0.0004525311481456
0,0,-0.07262606035291,4.386052665579379,-1.1785862245394507,136.04007063922052,-0.07650066,0.0233616,500,1000,5,-0.0853282448865327,0.0005407359349417
0,0,0.0611948772711697,3.4129749712278112,-0.2402070918015688,121.3858784504526,0.034886986,0.02045782,500,1000,5,-0.0859986214645876,0.0005623927870429
0,0,-0.0838764501931624,4.1396784743499895,-0.2681440094390028,147.86705599359814,-0.021663278,0.011669844,500,1000,5,-0.0851251592096021,0.0004581514017514
0,0,-0.0671190298427966,3.538041675145972,-0.3283105742458154,121.5812255106838,-0.075407565,0.02997583,500,1000,5,-0.0859975535487166,0.000488521301419
0,0,-0.0922559451256666,3.6818406899625504,-0.9679352743286338,132.78588948680792,-0.05829121,0.023388738,500,1000,5,-0.0858301549243957,0.0004525311481456
0,0,-0.1217540345514557,4.109985367703216,0.3945436807330251,120.31503430579392,-0.012143795,0.023403704,500,1000,5,-0.0853282448865327,0.0005407359349417
0,0,-0.0089956675777315,4.563624156768873,-0.7830398134426777,129.30160275788006,-0.05287245,0.021045715,500,1000,5,-0.0859986214645876,0.0005623927870429
0,0,-0.1491775777082183,4.164028760367896,-0.2594932092067203,123.93819422104944,-0.1674157,0.037043884,500,1000,5,-0.0851251592096021,0.0004581514017514
0,0,0.0062597927761483,4.663238658670235,-0.8146834119461706,169.22485532752196,-0.023543855,0.03459173,500,1000,5,-0.0859975535487166,0.000488521301419
0,0,-0.0562666573211701,3.905283863085261,-1.2821810291470483,121.25555988843966,-0.082916774,0.020554941,500,1000,5,-0.0858301549243957,0.0004525311481456
0,0,-0.077093871323267,3.961134356006932,-0.9925476929291136,125.1223219755006,-0.02473217,0.033109363,500,1000,5,-0.0853282448865327,0.0005407359349417
0,0,-0.1408129664822536,3.985715854985048,-1.2513586527216265,115.58302955974166,-0.081232145,0.02062366,500,1000,5,-0.0859986214645876,0.0005623927870429
0,0,-0.0260350394157126,4.419150334745886,-0.6913431337643408,111.07226948872128,-0.023346126,0.0245467,500,1000,5,-0.0851251592096021,0.0004581514017514
0,0,-0.1605845434170655,5.376180657334679,-1.059620655277668,113.10602615416282,-0.11118721,0.050704584,500,1000,5,-0.0859975535487166,0.000488521301419
0,0,-0.0932086378316854,4.328824592724331,-1.1635420684644586,107.8909906048952,-0.040959846,0.020255769,500,1000,5,-0.0858301549243957,0.0004525311481456
0,0,-0.0682728068016614,4.130787973992404,-1.2074919621402491,129.20551293572066,-0.048117194,0.03605087,500,1000,5,-0.0853282448865327,0.0005407359349417
0,0,-0.0633050712097372,4.164398141558123,-1.0365764198660663,123.0897784782206,-0.1276257,0.028903207,500,1000,5,-0.0859986214645876,0.0005623927870429
0,0,-0.0704254673038625,4.977285271129139,-0.1228376594903886,108.82813619285966,-0.061820045,0.022803603,500,1000,5,-0.0851251592096021,0.0004581514017514
0,0,0.0054847145073565,4.479310064591192,-1.0164107467422552,159.8222972552768,-0.031283736,0.03285518,500,1000,5,-0.0859975535487166,0.000488521301419
0,0,-0.104174539098612,4.379684160533491,-0.9003675778285545,127.59663222713756,-0.08736121,0.027921746,500,1000,5,-0.0858301549243957,0.0004525311481456
0,0,-0.0170654516264024,5.335847678781011,-0.5470162011992734,135.51468433941886,-0.11627686,0.043166313,500,1000,5,-0.0853282448865327,0.0005407359349417
0,0,-0.2156644934571212,5.2698210432964805,-0.1350092166658125,134.17832053677603,-0.112654746,0.037976086,500,1000,5,-0.0859986214645876,0.0005623927870429
0,0,-0.1193893573444851,3.881050164583856,-1.7416894520091133,125.73757859780106,-0.11615708,0.01642214,500,1000,5,-0.0851251592096021,0.0004581514017514
0,0,-0.1247795382884589,3.2857958073619336,-0.9468138244912296,115.78238607259416,-0.12491471,0.04409879,500,1000,5,-0.0859975535487166,0.000488521301419
0,0,-0.08496856362858,4.146202439917696,-0.7871368724936563,109.68458032657271,-0.04064628,0.021011613,500,1000,5,-0.0858301549243957,0.0004525311481456
