,Unnamed: 0,debias_point,debias_var,dim,dim_var,undebias_point,undebias_var,J,Q,K
68,68,-0.0865454949616343,6.088304693487371,0.4536110250933411,0.2323880195236464,-0.0261144179133799,1.9849608113114696,30,800,5
69,69,-0.0518768820586274,4.567770883584297,0.301695180729471,0.2541244387614027,-0.0358539527089949,1.9948924376938464,30,800,5
70,70,-0.0167126604328126,5.187640278419695,0.2321123197440391,0.2804752434599924,-0.0124872172171562,2.022742546666463,30,800,5
71,71,-0.0525769437909556,5.8132588114564925,-0.1415103494844651,0.3044311936473944,0.0169378725629301,2.116921595882024,30,800,5
72,72,-0.0047197774173435,6.100687320973745,-0.1116632083349982,0.2889480653309855,0.0166309047668884,2.1267541348468395,30,800,5
73,73,0.0364345016180479,6.065919894258454,-0.4070661382403728,0.2662499983224468,-0.0347978353374382,2.0714009980650605,30,800,5
74,74,-0.0073941284192313,6.071948252999196,0.395174316109415,0.3131695652567284,-0.0752704955492085,1.8241444556582351,30,800,5
75,75,0.02993891055628,6.348394445431565,-0.4665811758638885,0.3730682928325411,0.0223255941380092,1.994110023694634,30,800,5
76,76,0.0039878334124507,4.669434059883455,0.1993937470640387,0.2615584992414483,0.011806427342358,1.9850524791438584,30,800,5
77,77,0.0683660980399718,6.5210914536901,0.3811085213747214,0.2815696685589844,-0.0440338316805393,1.8019459054170357,30,800,5
78,78,0.1079054298567471,5.616003053277339,-0.0328474487280914,0.2530724653677812,0.0597954172187633,1.9866411699842157,30,800,5
79,79,0.0151736203412781,7.166225317944097,-0.4169018881919015,0.2469792981728073,0.0248845991194377,1.8522153971266964,30,800,5
80,80,0.2271304938419461,5.11175841239224,0.2879843164939633,0.2528747147625204,0.0646386477291205,2.145711659145371,30,800,5
81,81,0.059211287199041,5.482266396324086,0.2438379332535207,0.2872968952070235,0.0280052857152027,1.9961870456213715,30,800,5
82,82,0.0231082894749013,6.159239509461639,-0.5034586964887544,0.2571627493375792,0.0312502954459982,1.9202176763453955,30,800,5
83,83,0.2403999882346567,6.007839853494192,-0.3321102330881245,0.2527865553083515,0.1293173133132984,1.8660579365836252,30,800,5
84,84,-0.0119436515096119,6.545498984764162,0.070539215278722,0.2737676828139409,0.0143043210740218,1.993876081791731,30,800,5
85,85,-0.0550210433500143,4.535001376138518,-0.3972874511636513,0.2632538975995337,0.0252624568562303,1.827770070335214,30,800,5
86,86,-0.0301121373935255,6.2241877168307305,0.0451239582183236,0.2447237453228488,0.0044150081308578,1.9578732593903567,30,800,5
87,87,-0.0054820756074589,6.020589928149722,-0.1046356316014001,0.2532722650791024,-0.0366369407062264,1.8875166926248848,30,800,5
88,88,0.0391073104158822,5.158743410458968,0.2481840814146707,0.2812546828045501,0.0572443859119419,1.8845507396674523,30,800,5
89,89,0.1352149489772628,4.983627001805741,-0.0177665972183067,0.2417950264192445,0.0904952865042218,1.9763041887801536,30,800,5
90,90,-0.0734947427602225,6.681500620715096,-0.1054346499987826,0.2649809106080456,-0.0461190167726033,1.920932305929792,30,800,5
91,91,0.083776925487398,5.648132467424959,-0.1051874705386701,0.2676112142239232,0.0694570152414549,2.112343090996888,30,800,5
92,92,0.0020110464900268,6.671314209581212,-0.1463153470525666,0.2446644215314625,-0.0302339761524224,2.0869762889514107,30,800,5
93,93,0.0240030680843071,5.3913872310238125,0.0470918360052072,0.2894668387441355,-0.0243301945121223,1.923122979165944,30,800,5
94,94,-0.0284692420598275,6.6618385702647664,0.0131173181674455,0.2606560920877654,-0.0377458802579553,2.065654681400883,30,800,5
95,95,-0.0221832401670774,4.440987096163659,0.6511972819315326,0.2812603550557381,0.0281152529346579,1.86309963833924,30,800,5
96,96,0.0608815550469371,6.342826322437463,0.0371662753540995,0.2464403308243487,-0.0283477934304128,1.9861918927638456,30,800,5
97,97,-0.0291663098650613,6.499391093816577,0.0257481724648416,0.2617866310622151,-0.0107265144374489,2.0282774910472656,30,800,5
98,98,0.0187239939945963,4.483632958238485,0.1728539771400159,0.2789335234662825,0.0789960825507175,2.0309252601979533,30,800,5
99,99,-0.0229117937476512,5.633875247352389,0.3270422201936198,0.2309975442330237,-0.022486610309989,2.079284478942947,30,800,5
