,debias_point,debias_var,dim,dim_var,undebias_point,undebias_var,J,Q,K
0,0.05900434887628414,4.237909990884081,-0.49004172237743404,0.2932965716636251,1.0428918257953814,1.8752564071533255,30,800,5
1,0.07294348330253064,6.006127132818683,-0.1117380967007584,0.28107022107217816,1.042229985747611,2.0635872801667143,30,800,5
2,-0.016960608654360776,4.58559625322357,-0.5004380738820853,0.24923174151098135,0.9112638004925158,2.048872534832302,30,800,5
3,-0.018529430168193195,4.300829194330864,-0.7110645525892139,0.2755902996231767,0.9955119777717482,1.8970396100818856,30,800,5
4,-0.08396656594249607,4.619201207646729,-0.08974708829334066,0.273093853651943,0.9296548779443056,1.7907042864980582,30,800,5
5,0.05976552273607205,4.611905510264582,-0.5176928440524513,0.35895887512342445,1.0141160730329783,2.049736803166772,30,800,5
6,0.016556140271177355,4.271946379949323,-0.5592678819849901,0.3166894633966316,1.049260384032823,2.0779934290362934,30,800,5
7,0.13965498083132943,3.6850604408824843,-0.08939585053856458,0.24161649372764474,1.0721288834028675,1.9887190452047925,30,800,5
8,-0.1554146730342273,4.315282466380515,-0.5608384514844618,0.24925165456680465,0.9683306515787532,1.9036143772342478,30,800,5
9,-0.05915754021622066,5.087761455997924,-0.2765025028917849,0.2814191926358241,0.9758496456592459,1.940171997355031,30,800,5
10,-0.07427591215815132,5.55387904342561,-0.19212336984138645,0.23097824671315742,0.9919761138179845,1.7889801952688156,30,800,5
11,0.10992576956627098,4.243589335924107,-0.39980667586360763,0.3175542132431282,1.0062139549325406,1.821913200448017,30,800,5
12,0.19084787687664817,5.092755232222736,-0.6342905203472942,0.2658119813336692,1.0447964526042892,2.0814833700106607,30,800,5
13,-0.0253157075312207,4.881250856956201,-0.09325413855822884,0.26749664471731743,1.0147723346815747,1.9334422351078222,30,800,5
14,-0.1720806408283796,4.821604197990593,-0.6454061095849237,0.24495682100217173,0.9796884378580953,2.009979482368241,30,800,5
15,0.03996871477948871,4.812960019080083,-0.22717650855619542,0.2691592205782718,1.0606871413538312,1.9593544877126703,30,800,5
16,-0.016602210513959936,5.666644473992432,-0.6647700846704172,0.2987469929876285,1.006476267967958,2.0764896774874138,30,800,5
17,-0.025344566459367557,4.427232849659936,-0.6028722813323748,0.28353818278050175,1.0877231062692296,1.9366697960575288,30,800,5
18,-0.0075702250480178535,5.139866254991954,-0.4528707960947491,0.25933722583152213,1.0193110756093968,2.0286353600877587,30,800,5
19,-0.05676526062260001,5.372581415790127,0.08482369243764243,0.2907017698940744,1.0007991690362967,1.9016700141807823,30,800,5
20,0.049464550968053134,4.546811872233093,-0.2615887640138199,0.2549575935664388,1.0138942120607346,1.9681056547340343,30,800,5
21,-0.06333726764233205,5.328629417295349,-0.4660185593172885,0.24212475154623944,0.9884604221351537,2.0049427599879084,30,800,5
22,0.056964062284728945,5.141074906549335,-0.4759230455008696,0.343904189403939,1.10796343429903,2.1534539701018742,30,800,5
